match,inn,bat_team,bowl_team,over,runs,wickets,target,total,last_4
1,2,RCB,SRH,1,11,0,207,172,11
1,2,RCB,SRH,2,12,0,207,172,12
1,2,RCB,SRH,3,28,0,207,172,28
1,2,RCB,SRH,4,43,0,207,172,43
1,2,RCB,SRH,5,48,0,207,172,37
1,2,RCB,SRH,6,54,1,207,172,42
1,2,RCB,SRH,7,61,2,207,172,33
1,2,RCB,SRH,8,74,2,207,172,31
1,2,RCB,SRH,9,85,2,207,172,37
1,2,RCB,SRH,10,98,2,207,172,44
1,2,RCB,SRH,11,111,2,207,172,50
1,2,RCB,SRH,12,118,3,207,172,44
1,2,RCB,SRH,13,126,4,207,172,41
1,2,RCB,SRH,14,130,5,207,172,32
1,2,RCB,SRH,15,139,5,207,172,28
1,2,RCB,SRH,16,151,5,207,172,33
1,2,RCB,SRH,17,154,6,207,172,28
1,2,RCB,SRH,18,156,8,207,172,26
1,2,RCB,SRH,19,165,9,207,172,26
1,2,RCB,SRH,20,172,10,207,172,21
2,2,DC,RCB,1,9,0,157,142,9
2,2,DC,RCB,2,13,0,157,142,13
2,2,DC,RCB,3,21,0,157,142,21
2,2,DC,RCB,4,32,0,157,142,32
2,2,DC,RCB,5,37,1,157,142,28
2,2,DC,RCB,6,43,2,157,142,30
2,2,DC,RCB,7,53,2,157,142,32
2,2,DC,RCB,8,65,3,157,142,33
2,2,DC,RCB,9,70,3,157,142,33
2,2,DC,RCB,10,79,3,157,142,36
2,2,DC,RCB,11,85,4,157,142,32
2,2,DC,RCB,12,94,4,157,142,29
2,2,DC,RCB,13,107,5,157,142,37
2,2,DC,RCB,14,112,5,157,142,33
2,2,DC,RCB,15,113,6,157,142,28
2,2,DC,RCB,16,121,6,157,142,27
2,2,DC,RCB,17,126,7,157,142,19
2,2,DC,RCB,18,137,7,157,142,25
2,2,DC,RCB,19,139,7,157,142,26
2,2,DC,RCB,20,142,9,157,142,21
3,2,MI,KKR,1,9,0,178,180,9
3,2,MI,KKR,2,15,0,178,180,15
3,2,MI,KKR,3,25,0,178,180,25
3,2,MI,KKR,4,37,0,178,180,37
3,2,MI,KKR,5,44,0,178,180,35
3,2,MI,KKR,6,49,0,178,180,34
3,2,MI,KKR,7,58,0,178,180,33
3,2,MI,KKR,8,71,1,178,180,34
3,2,MI,KKR,9,72,2,178,180,28
3,2,MI,KKR,10,74,3,178,180,25
3,2,MI,KKR,11,83,3,178,180,25
